2466,0.4,1310
1383,12.1,633
2008,0.3,1051
1364,9.3,815
1621,6.9,926
1563,28.2,824
1399,67.6,731
1259,34.9,647
1776,18.9,925
1571,61.1,755
1770,25.5,908
1145,40.3,608
1255,53.7,632
1532,47.5,598
1517,55,740
1438,51.2,766
1579,43.5,668
1456,33.6,721
1129,23.2,477
1427,58.1,545
1451,36.7,677
1858,49.7,1029
1960,48.5,953
1567,54,673
1351,63.2,424
1402,34.9,550
1364,48.6,505
1376,98.6,697
1334,102.7,727
1485,75.7,818
1255,57.1,637
1612,125,793
1608,66,669
1491,57.8,740
1040,17.5,375
1167,21.7,555
1897,22.2,860
1575,32.3,467
1778,16.1,704
2004,12.1,930
1648,40.3,817
2515,45.1,1286
1742,29.6,723
1745,16,737
1733,25.2,751
1722,42.1,781
1986,32.4,752
1909,8.5,900
1210,68.9,480
1231,83.8,645
1591,52.7,688
2422,60.7,1121
1759,70.6,623
1370,43.3,619
2335,30.1,964
2811,31.8,1275
1600,38.8,768
1447,59.2,677
1679,28.6,763
1586,59.4,462
1908,0.9,917
1732,5.1,808
1337,2.9,729
1480,1.7,639
1833,11.7,1026
1392,6.5,702
1429,34.8,628
1657,2.9,990
1503,28.6,906
1509,3.9,659
1778,28.1,714
1688,18.5,816
1812,7.4,953
1679,48.8,721
1495,31.9,703
1770,31.4,848
1346,4.2,638
1626,7.9,735
1514,51.4,543
1227,41.2,598
1701,71,725
1550,22.7,833
1829,37.3,698
1558,6.2,681
1641,71.5,912
1728,8.1,806
1515,33.3,708
1843,53.2,1010
1757,45.8,996
1369,3.7,624
1481,3.5,619
1786,4.7,832
1403,15.3,567
1498,4.3,777
1420,1.5,703
1614,2.5,742
1540,14.2,810
1603,7.1,767
1856,24.6,835
1563,2.4,809
1379,8.1,752
1698,18.3,767
1746,17.7,916
1514,2.8,795
1538,47.7,810
1648,25,773
1507,32,684
2008,2.4,998
1458,3.8,596
1544,3.1,769
1880,20.8,854
1792,37.6,842
1847,3.4,922
1586,11.1,682
1369,17.6,657
1541,31.4,583
1562,31,723
1500,4.6,587
1549,3.3,644
1534,5.1,623
2142,42.1,841
1879,13.1,717
1547,7.4,681
1626,39.4,608
1700,36.2,690
1562,20.5,728
1609,5.5,781
1559,11.3,642
1346,85.2,544
1671,3.6,776
1818,30.9,993
2354,39.5,1309
2196,27.8,1005
1395,20.2,670
2157,40.3,1120
1537,5.2,671
2183,28.8,1099
1736,14.8,758
2006,12.5,876
1493,25.7,674
1474,2.9,680
1388,17.6,599
1649,36.2,707
1657,0.3,807
2457,6.7,1261
1489,9.3,580
1564,1.1,722
1410,0.3,709
1356,12.4,604
1459,20.3,667
1586,0.4,756
1811,22.5,813
1576,41.5,858
1597,1.3,730
2464,2.4,1167
1614,45.7,708
1323,46.7,635
1236,38.5,663
1182,38.1,657
1160,17.8,543
1581,14.9,844
1747,32.3,733
1414,49.5,642
1600,11.7,688
1635,1.2,840
1467,24.8,690
1551,4.2,801
1709,22.1,649
1534,1.9,763
1229,3.9,634
1087,2.1,422
2118,1.7,1042
1685,15.3,761
1455,3.7,756
1884,31.9,828
1653,30.2,831
1290,3.5,572
1332,58.1,668
1390,22.4,656
1332,16.3,624
2008,60.2,803
1731,48.7,704
1613,9.3,563
2073,57.4,549
2284,41,560
1387,32,412
2010,32.8,357
4494,8.8,846
2317,4.3,1255
2331,8,991
1898,37.8,588
1610,16.6,765
2028,7,980
1450,14.8,620
1840,1.9,907
2393,3.3,1157
1657,1,827
1572,34.4,618
1427,46.5,715
1530,5.6,755
1477,10.1,572
1451,41.6,622
1276,0.9,635
1576,14,804
1796,1.9,822
1782,1.9,871
1600,9.8,856
1172,6,455
1575,1.3,605
1345,21.9,688
1247,56.2,654
1126,26.6,496
1606,2.6,838
1833,40.8,785
1978,7.3,1166
1166,35.8,538
1414,37.3,723
1245,52.2,591
1681,11.8,785
1196,37.7,544
1347,59.3,629
1462,22.4,560
1418,10.9,517
1298,43.3,377
1285,61.2,530
1388,33.5,373
1389,3.8,537
1712,26,554
1855,5.3,828
1549,5.4,784
1470,69.5,633
1497,5.4,720
1535,16.7,676
1862,17.9,794
1199,3.7,398
1323,1.4,544
1348,1.7,719
1347,43.8,447
1961,19.3,757
1145,45.6,402
1441,24.5,506
1115,16.2,371
1713,7.9,647
1634,7.3,704
1291,2.8,522
1434,27.1,462
1831,1.6,799
1370,37.5,412
1452,60.6,584
1961,15.9,624
1591,21.2,694
1251,50.6,507
1225,28,533
1416,57.1,653
1228,30,540
1050,31.5,412
1167,24.1,453
1179,21.4,510
1268,31.4,554
1472,27.8,579
1196,14.3,599
1657,18.5,887
1204,3.4,466
1395,5.4,615
1013,12,438
1325,66.2,446
1007,11.3,436
1538,6.9,622
1436,3.3,578
1328,3.9,458
1299,25.8,521
1484,7.4,624
2001,0.8,969
1707,13.3,660
1780,15.1,904
1790,1.5,805
1279,18.1,711
1477,30.5,632
1078,49.6,391
1734,50.2,864
1613,3.3,810
1435,3.8,553
1310,1.4,630
1278,27.5,536
1523,6.3,688
1824,4.4,819
1437,4.2,589
1323,59.2,485
1516,8.8,541
2013,17.5,820
2501,3.7,965
1484,37.9,529
1470,55.9,707
1421,4.1,629
1872,2.4,908
1834,2.1,932
1769,52.1,672
1664,28.6,803
1967,5.9,875
1975,1.5,974
1981,35.5,724
2805,6.3,1335
1275,1.3,658
1651,0.2,790
2443,14.4,1221
1510,15.4,650
1548,37,762
2105,3.4,874
1730,3.7,760
1637,21,604
1580,7.9,584
1763,49.4,620
1245,30.2,629
1465,37.9,810
1218,3.4,590
1142,36.3,535
1926,19.8,1100
1421,12.9,719
1529,32.9,533
1584,43.4,598
1568,48.6,577
1286,38.7,524
1569,33.1,724
1439,34.4,579
1236,2.4,556
1283,45,546
1544,29.3,701
1510,2.1,661
1392,30.5,599
1351,43.2,579
1237,9.4,571
1531,2.4,649
1062,1.8,495
1228,0.8,588
1056,9.9,448
1169,0.6,534
2391,0.5,1160
2068,0.2,1034
2254,0.3,1056
1522,0.1,735
1390,0.1,789
1328,0.1,644
1001,0.1,529
1676,25.1,660
1528,5,672
2632,5.3,1096
1204,25.3,524
1481,0.1,723
1777,0.5,781
1612,0.1,795
1530,8.6,694
1663,0.2,803
1738,3.7,781
1721,33.5,638
1883,3.3,910
1104,10.3,444
1251,1,478
1531,39.8,486
1562,34.3,697
2146,17.5,1077
1695,1.7,778
1292,3.2,600
1164,1.1,586
1755,5.9,826
1453,21.8,524
1301,1.1,652
1409,11.9,623
1414,26.3,436
1448,18.9,487
1785,9.9,851
1396,5.5,668
1468,7.5,595
1561,5.7,553
1356,9.8,627
1360,28.2,573
1411,61.3,650
1808,24.3,796
1711,21,931
1259,66.6,611
1460,2.5,737
1957,1.6,1016
1485,19.2,627
1380,38.3,587
